workerid,proliferate.condition,ID,Order,accuracy,browser,browser_version,duration,failed_audio,failed_images,failed_video,fullscreen,gender,height,internal_node_id,microphone,mobile,order,os,question_order,response,rt,speech_rate,stimulus,success,talker,time_elapsed,timeout,transcript,trial_index,trial_type,vsync_rate,webaudio,webcam,width,error
8,pilot,,,,,,,[],[],[],,,,0.0-0.0,,,,,,,,,,True,,624,False,,0,preload,,,,,
8,pilot,,,,,,,[],[],[],,,,0.0-1.0,,,,,,,,,,True,,2938,False,,1,preload,,,,,
8,pilot,,,,chrome,136.0.0,,,,,True,,898,0.0-2.0,True,False,,Mac OS,,,,,,,,4189,,,2,browser-check,60.29,True,True,1792,
8,pilot,,,,,,,,,,,,,0.0-3.0,,,,,,0,61158,,"
        <div class=""text"" id=""instruction"">
            <img src=""../images/stanford_logo.png"" alt=""stanford logo"" width=""180"" height=""80"">
            <p><b>Only complete this study if you are a Massachussets resident who is 18 years old or older.</b></p>
            <p>Please share this link with other people you know who live in the area, but <u>do not participate in this study more than once</u>.
            <BR>You will not be compensated more than once.</p> 
            <p>In this experiment, you will be listening to pairs of audio clips.</p>
            <p>Each pair of audio clips will be played once in consecutive order. Your task is to decide which one of the clips sounds like the speaker was born in Boston.</p>
            <p>Please ensure that you use earphones or headphones for the duration of this experiment.</p>
            <p>This experiment should be completed on a <b><u>desktop or laptop</u></b> using the <b><u>Google Chrome browser</u></b>.</p>
            <p>The experiment will take approximately 40 minutes. You will be compensated $15 for your time.</p>
        </div>
      ",,,65602,,,3,html-button-response,,,,,
8,pilot,,,,,,,,,,,,,0.0-4.0,,,,,,0,19401,,"
        <div class=""text"" id=""irb"">
            
                <h3>Nonmedical Human Participants Consent Form and Waiver of Documentation</h3>
                <p>
                    <strong>STUDY TITLE:</strong> Language Production and Comprehension Studies
                </p>
                <p><strong>PROTOCOL DIRECTOR:</strong> Meghan Sumner</p>
                <p>		
                    <strong>DESCRIPTION:</strong> We invite you to participate in a research study on language production and comprehension. In this experiment, you will complete a linguistic task online such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game.
                    </p>
                <p>		
                    <strong>RISKS AND BENEFITS:</strong> There are no known risks, costs, or discomforts in this study and this judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. We cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people recognize and perceive auditory stimuli.
                </p>	
                <p>	
                    <strong>TIME INVOLVEMENT:</strong> Your participation in this experiment will take less than one hour.
                </p>
                <p>	
                    <strong>PAYMENTS:</strong> You will be paid for your participation at the posted rate, consisted with online payment standards.
                    </p>
                <p>		
                    <strong>SUBJECT'S RIGHTS:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study.
                </p>
                <p>			
                    <strong>CONTACT INFORMATION:</strong><BR>
                    Questions, Concerns, or Complaints: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, please contact Prof. Meghan Sumner at (650) 723-4284.
                </p>	
                <p>
                    Independent Contact: If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, Stanford, CA 94305-5401 or email irbnonmed@stanford.edu.
                </p>	
                <p>	
                    <strong>WAIVER OF DOCUMENTATION:</strong><BR>
                    If you agree to participate in this research, please continue to begin the study. 
                </p>	
                <p style=""font-size: 80%"">
                Approval Date: June, 30, 2021<BR>
                Expiration Date: Does Not Expire
                </p>
                
        </div>
      ",,,85256,,,4,html-button-response,,,,,
8,pilot,,,,,,,,,,,,,0.0-5.0,,,,,,['friends'],,,,,,94031,,,5,cloze,,,,,
8,pilot,,,,,,,,,,,,,0.0-6.0,,,,,,0,27770,,"
  <center>
        <p>You will now begin the practice trials.</p>
        <p>In each trial, two audio clips will play one after another. You will hear a variety of sentences and phrases spoken by different talkers.</p>
        <p>Each audio clip will only be played once and you will not be able to replay them.</p>
        <p><strong>Your task is to decide which clip sounds more like the speaker was born in Boston.</strong></p>
        <p><strong>These clips come from a range of different people so they might not all sound like your typical Bostonian, but just make your best guess as quickly as possible.</strong></p>
        <p>Please place your left index finger on the ""S"" key and your right index finger on the ""L"" key.</p>
        <p><img src=""../procedures/keyboard.png"" width=""500"" style=""margin-top:-10px""></p>
        <p>If the <strong>first clip</strong> sounds more like someone who was born in Boston, please <strong>press S</strong>.</p>
        <p>If the <strong>second clip</strong> sounds more like someone who was born in Boston, please <strong>press L</strong>.</p>
        <p><b>Respond as quickly as possible when both clips have finished playing.</b></p>
        <p>This is a timed task. If you do not respond in time, the next question will appear automatically.</p>
        <p><b>Please answer as quickly and accurately as possible.</b></p> 
  </center>
        ",,,122054,,,6,html-button-response,,,,,
8,pilot,UNKNOWN,,,,,0,,,,,UNKNOWN,,0.0-7.0,,,0,,,,,0,../practice/trial1_clip1.WAV,,UNKNOWN,126309,,UNKNOWN,7,audio-keyboard-response,,,,,
8,pilot,UNKNOWN,,,,,0,,,,,UNKNOWN,,0.0-8.0,,,0,,,,,0,../practice/trial1_clip2.WAV,,UNKNOWN,130312,,UNKNOWN,8,audio-keyboard-response,,,,,
8,pilot,,1,,,,,,,,,,,0.0-9.0,,,,,,s,523,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,132315,,,9,html-keyboard-response,,,,,
