clip,post_vocal,r_count,rlesspreportion,rless_count
F1_01,FALSE,0,0,0
F1_02,FALSE,0,0,0
F1_03,FALSE,0,0,0
F1_04,TRUE,1,0,0
F2_01,TRUE,2,0.5,1
F2_02,TRUE,1,1,1
F2_03,FALSE,0,0,0
F2_04,FALSE,0,0,0
F3_01,TRUE,3,0,0
F3_02,FALSE,0,0,0
F3_03,TRUE,1,0,0
F3_04,TRUE,1,1,1
F4_01,TRUE,2,0,0
F4_02,TRUE,1,0,0
F4_03,TRUE,1,1,1
F4_04,FALSE,0,0,0
F5_01,FALSE,0,0,0
F5_02,TRUE,1,1,1
F5_03,FALSE,0,0,0
F5_04,TRUE,2,0.5,1
M1_01,FALSE,0,0,0
M1_02,TRUE,1,0,0
M1_03,FALSE,0,0,0
M1_04,FALSE,0,0,0
M2_01,TRUE,1,0,0
M2_02,TRUE,1,1,1
M2_03,TRUE,1,1,1
M2_04,FALSE,0,0,0
M3_01,TRUE,1,1,1
M3_02,TRUE,1,1,1
M3_03,TRUE,1,1,1
M3_04,TRUE,2,1,2
M4_01,FALSE,0,0,0
M4_02,FALSE,0,0,0
M4_03,FALSE,0,0,0
M4_04,FALSE,0,0,0
M5_01,TRUE,1,1,1
M5_02,FALSE,0,0,0
M5_03,TRUE,3,1,3
M5_04,TRUE,1,1,1
